recipe,temp_C,family,cycle,cycle_value,pred_nm
B187,-10,zmin,9,9.0,3970.551513671875
B188,-10,zmin,1,1.0,15.29798698425293
B188,-10,zmin,2,2.0,605.3965454101562
B188,-10,zmin,3,3.0,1079.30126953125
B188,-10,zmin,4,4.0,1472.6727294921875
B188,-10,zmin,5,5.0,1805.30615234375
B188,-10,zmin,6,6.0,2112.631591796875
B188,-10,zmin,7,7.0,2382.05615234375
B188,-10,zmin,8,8.0,2679.15771484375
B188,-10,zmin,9,9.0,3496.07080078125
B189,-10,zmin,1,1.0,0.0
B189,-10,zmin,2,2.0,250.55844116210938
B189,-10,zmin,3,3.0,971.6661987304688
B189,-10,zmin,4,4.0,1616.798583984375
B189,-10,zmin,5,5.0,2200.162841796875
B189,-10,zmin,6,6.0,2757.5244140625
B189,-10,zmin,7,7.0,3319.124267578125
B189,-10,zmin,8,8.0,3872.7265625
B189,-10,zmin,9,9.0,4192.0615234375
B190,-10,zmin,1,1.0,0.0
B190,-10,zmin,2,2.0,89.39678192138672
B190,-10,zmin,3,3.0,774.3753051757812
B190,-10,zmin,4,4.0,1372.89501953125
B190,-10,zmin,5,5.0,1911.5772705078125
B190,-10,zmin,6,6.0,2360.507080078125
B190,-10,zmin,7,7.0,2802.71923828125
B190,-10,zmin,8,8.0,3253.466552734375
B190,-10,zmin,9,9.0,3883.505859375
B191,-10,zmin,1,1.0,195.50137329101562
B191,-10,zmin,2,2.0,876.1220092773438
B191,-10,zmin,3,3.0,1422.4986572265625
B191,-10,zmin,4,4.0,1860.8994140625
B191,-10,zmin,5,5.0,2229.19140625
B191,-10,zmin,6,6.0,2572.053955078125
B191,-10,zmin,7,7.0,2897.041748046875
B191,-10,zmin,8,8.0,3211.6689453125
B191,-10,zmin,9,9.0,3771.523681640625
B192,-10,zmin,1,1.0,0.0
B192,-10,zmin,2,2.0,655.460205078125
B192,-10,zmin,3,3.0,1238.943115234375
B192,-10,zmin,4,4.0,1710.870361328125
B192,-10,zmin,5,5.0,2111.191162109375
B192,-10,zmin,6,6.0,2466.73876953125
B192,-10,zmin,7,7.0,2816.667236328125
B192,-10,zmin,8,8.0,3173.05615234375
B192,-10,zmin,9,9.0,3778.1513671875
B193,-10,zmin,1,1.0,0.0
B193,-10,zmin,2,2.0,342.69549560546875
B193,-10,zmin,3,3.0,1025.952392578125
B193,-10,zmin,4,4.0,1634.0850830078125
B193,-10,zmin,5,5.0,2147.543701171875
B193,-10,zmin,6,6.0,2627.141845703125
B193,-10,zmin,7,7.0,3072.921875
B193,-10,zmin,8,8.0,3529.68994140625
B193,-10,zmin,9,9.0,4003.08984375
B194,-10,zmin,1,1.0,0.0
B194,-10,zmin,2,2.0,70.64720153808594
B194,-10,zmin,3,3.0,475.79931640625
B194,-10,zmin,4,4.0,825.6393432617188
B194,-10,zmin,5,5.0,1145.605712890625
B194,-10,zmin,6,6.0,1440.7381591796875
B194,-10,zmin,7,7.0,1714.640869140625
B194,-10,zmin,8,8.0,2023.5130615234375
B194,-10,zmin,9,9.0,3164.376708984375
B195,-10,zmin,1,1.0,0.0
B195,-10,zmin,2,2.0,0.0
B195,-10,zmin,3,3.0,0.0
